id,Mã xã,Tên xã,Mã huyện
77,00220,Phường Phương Liên,006
78,00223,Phường Thịnh Quang,006
79,00226,Phường Trung Tự,006
80,00229,Phường Kim Liên,006
81,00232,Phường Phương Mai,006
82,00235,Phường Ngã Tư Sở,006
83,00238,Phường Khương Thượng,006
84,00241,Phường Nguyễn Du,007
85,00244,Phường Bạch Đằng,007
86,00247,Phường Phạm Đình Hổ,007
87,00250,Phường Bùi Thị Xuân,007
88,00253,Phường Ngô Thì Nhậm,007
89,00256,Phường Lê Đại Hành,007
90,00259,Phường Đồng Nhân,007
91,00262,Phường Phố Huế,007
92,00265,Phường Đống Mác,007
93,00268,Phường Thanh Lương,007
94,00271,Phường Thanh Nhàn,007
95,00274,Phường Cầu Dền,007
96,00277,Phường Bách Khoa,007
97,00280,Phường Đồng Tâm,007
98,00283,Phường Vĩnh Tuy,007
99,00286,Phường Bạch Mai,007
100,00289,Phường Quỳnh Mai,007
101,00292,Phường Quỳnh Lôi,007
102,00295,Phường Minh Khai,007
103,00298,Phường Trương Định,007
104,00301,Phường Thanh Trì,008
105,00304,Phường Vĩnh Hưng,008
106,00307,Phường Định Công,008
107,00310,Phường Mai Động,008
108,00313,Phường Tương Mai,008
109,00316,Phường Đại Kim,008
110,00319,Phường Tân Mai,008
111,00322,Phường Hoàng Văn Thụ,008
112,00325,Phường Giáp Bát,008
113,00328,Phường Lĩnh Nam,008
114,00331,Phường Thịnh Liệt,008
115,00334,Phường Trần Phú,008
116,00337,Phường Hoàng Liệt,008
117,00340,Phường Yên Sở,008
118,00343,Phường Nhân Chính,009
119,00346,Phường Thượng Đình,009
120,00349,Phường Khương Trung,009
121,00352,Phường Khương Mai,009
122,00355,Phường Thanh Xuân Trung,009
123,00358,Phường Phương Liệt,009
124,00361,Phường Hạ Đình,009
125,00364,Phường Khương Đình,009
126,00367,Phường Thanh Xuân Bắc,009
127,00370,Phường Thanh Xuân Nam,009
128,00373,Phường Kim Giang,009
129,00376,Thị trấn Sóc Sơn,016
130,00379,Xã Bắc Sơn,016
131,00382,Xã Minh Trí,016
132,00385,Xã Hồng Kỳ,016
133,00388,Xã Nam Sơn,016
134,00391,Xã Trung Giã,016
135,00394,Xã Tân Hưng,016
136,00397,Xã Minh Phú,016
137,00400,Xã Phù Linh,016
138,00403,Xã Bắc Phú,016
139,00406,Xã Tân Minh,016
140,00409,Xã Quang Tiến,016
141,00412,Xã Hiền Ninh,016
142,00415,Xã Tân Dân,016
143,00418,Xã Tiên Dược,016
144,00421,Xã Việt Long,016
145,00424,Xã Xuân Giang,016
146,00427,Xã Mai Đình,016
147,00430,Xã Đức Hòa,016
148,00433,Xã Thanh Xuân,016
149,00436,Xã Đông Xuân,016
150,00439,Xã Kim Lũ,016
151,00442,Xã Phú Cường,016
152,00445,Xã Phú Minh,016
153,00448,Xã Phù Lỗ,016
154,00451,Xã Xuân Thu,016
155,00454,Thị trấn Đông Anh,017
156,00457,Xã Xuân Nộn,017
157,00460,Xã Thuỵ Lâm,017
158,00463,Xã Bắc Hồng,017
159,00466,Xã Nguyên Khê,017
160,00469,Xã Nam Hồng,017
161,00472,Xã Tiên Dương,017
162,00475,Xã Vân Hà,017
163,00478,Xã Uy Nỗ,017
164,00481,Xã Vân Nội,017
165,00484,Xã Liên Hà,017
166,00487,Xã Việt Hùng,017
167,00490,Xã Kim Nỗ,017
168,00493,Xã Kim Chung,017
169,00496,Xã Dục Tú,017
170,00499,Xã Đại Mạch,017
171,00502,Xã Vĩnh Ngọc,017
172,00505,Xã Cổ Loa,017
173,00508,Xã Hải Bối,017
174,00511,Xã Xuân Canh,017
175,00514,Xã Võng La,017
176,00517,Xã Tàm Xá,017
177,00520,Xã Mai Lâm,017
178,00523,Xã Đông Hội,017
179,00526,Thị trấn Yên Viên,018
180,00529,Xã Yên Thường,018
181,00532,Xã Yên Viên,018
182,00535,Xã Ninh Hiệp,018
183,00538,Xã Đình Xuyên,018
184,00541,Xã Dương Hà,018
185,00544,Xã Phù Đổng,018
186,00547,Xã Trung Mầu,018
187,00550,Xã Lệ Chi,018
188,00553,Xã Cổ Bi,018
189,00556,Xã Đặng Xá,018
190,00559,Xã Phú Thị,018
191,00562,Xã Kim Sơn,018
192,00565,Thị trấn Trâu Quỳ,018
193,00568,Xã Dương Quang,018
194,00571,Xã Dương Xá,018
195,00574,Xã Đông Dư,018
196,00577,Xã Đa Tốn,018
197,00580,Xã Kiêu Kỵ,018
198,00583,Xã Bát Tràng,018
199,00586,Xã Kim Lan,018
200,00589,Xã Văn Đức,018
201,00592,Phường Cầu Diễn,019
202,00622,Phường Xuân Phương,019
203,00623,Phường Phương Canh,019
204,00625,Phường Mỹ Đình 1,019
205,00626,Phường Mỹ Đình 2,019
206,00628,Phường Tây Mỗ,019
207,00631,Phường Mễ Trì,019
208,00632,Phường Phú Đô,019
209,00634,Phường Đại Mỗ,019
210,00637,Phường Trung Văn,019
211,00640,Thị trấn Văn Điển,020
212,00643,Xã Tân Triều,020
213,00646,Xã Thanh Liệt,020
214,00649,Xã Tả Thanh Oai,020
215,00652,Xã Hữu Hòa,020
216,00655,Xã Tam Hiệp,020
217,00658,Xã Tứ Hiệp,020
218,00661,Xã Yên Mỹ,020
219,00664,Xã Vĩnh Quỳnh,020
220,00667,Xã Ngũ Hiệp,020
221,00670,Xã Duyên Hà,020
222,00673,Xã Ngọc Hồi,020
223,00676,Xã Vạn Phúc,020
224,00679,Xã Đại áng,020
225,00682,Xã Liên Ninh,020
226,00685,Xã Đông Mỹ,020
227,00595,Phường Thượng Cát,021
228,00598,Phường Liên Mạc,021
229,00601,Phường Đông Ngạc,021
230,00602,Phường Đức Thắng,021
231,00604,Phường Thụy Phương,021
232,00607,Phường Tây Tựu,021
233,00610,Phường Xuân Đỉnh,021
234,00611,Phường Xuân Tảo,021
235,00616,Phường Cổ Nhuế 1,021
236,00617,Phường Cổ Nhuế 2,021
237,00619,Phường Phú Diễn,021
238,00620,Phường Phúc Diễn,021
239,08973,Thị trấn Chi Đông,250
240,08974,Xã Đại Thịnh,250
241,08977,Xã Kim Hoa,250
242,08980,Xã Thạch Đà,250
243,08983,Xã Tiến Thắng,250
244,08986,Xã Tự Lập,250
245,08989,Thị trấn Quang Minh,250
246,08992,Xã Thanh Lâm,250
247,08995,Xã Tam Đồng,250
248,08998,Xã Liên Mạc,250
249,09001,Xã Vạn Yên,250
250,09004,Xã Chu Phan,250
251,09007,Xã Tiến Thịnh,250
252,09010,Xã Mê Linh,250
253,09013,Xã Văn Khê,250
254,09016,Xã Hoàng Kim,250
255,09019,Xã Tiền Phong,250
256,09022,Xã Tráng Việt,250
257,09538,Phường Nguyễn Trãi,268
258,09541,Phường Mộ Lao,268
259,09542,Phường Văn Quán,268
260,09544,Phường Vạn Phúc,268
261,09547,Phường Yết Kiêu,268
262,09551,Phường La Khê,268
263,09552,Phường Phú La,268
264,09553,Phường Phúc La,268
265,09556,Phường Hà Cầu,268
266,09562,Phường Yên Nghĩa,268
267,09565,Phường Kiến Hưng,268
268,09568,Phường Phú Lãm,268
269,09571,Phường Phú Lương,268
270,09886,Phường Dương Nội,268
271,10117,Phường Đồng Mai,268
272,10123,Phường Biên Giang,268
273,09574,Phường Lê Lợi,269
274,09577,Phường Phú Thịnh,269
275,09580,Phường Ngô Quyền,269
276,09586,Phường Sơn Lộc,269
277,09589,Phường Xuân Khanh,269
278,09592,Xã Đường Lâm,269
279,09595,Phường Viên Sơn,269
280,09598,Xã Xuân Sơn,269
281,09601,Phường Trung Hưng,269
282,09604,Xã Thanh Mỹ,269
283,09607,Phường Trung Sơn Trầm,269
284,09613,Xã Sơn Đông,269
285,09616,Xã Cổ Đông,269
286,09619,Thị trấn Tây Đằng,271
287,09628,Xã Cổ Đô,271
288,09631,Xã Tản Hồng,271
289,09634,Xã Vạn Thắng,271
290,09637,Xã Châu Sơn,271
291,09640,Xã Phong Vân,271
292,09643,Xã Phú Đông,271
293,09646,Xã Phú Phương,271
294,09649,Xã Phú Châu,271
295,09652,Xã Thái Hòa,271
296,09655,Xã Đồng Thái,271
297,09658,Xã Phú Sơn,271
298,09661,Xã Minh Châu,271
299,09664,Xã Vật Lại,271
300,09667,Xã Chu Minh,271
301,09670,Xã Tòng Bạt,271
302,09673,Xã Cẩm Lĩnh,271
303,09676,Xã Sơn Đà,271
304,09679,Xã Đông Quang,271
305,09682,Xã Tiên Phong,271
306,09685,Xã Thụy An,271
307,09688,Xã Cam Thượng,271
308,09691,Xã Thuần Mỹ,271
309,09694,Xã Tản Lĩnh,271
310,09697,Xã Ba Trại,271
311,09700,Xã Minh Quang,271
312,09703,Xã Ba Vì,271
313,09706,Xã Vân Hòa,271
314,09709,Xã Yên Bài,271
315,09712,Xã Khánh Thượng,271
316,09715,Thị trấn Phúc Thọ,272
317,09721,Xã Vân Phúc,272
318,09724,Xã Vân Nam,272
319,09727,Xã Xuân Phú,272
320,09730,Xã Phương Độ,272
321,09733,Xã Sen Chiểu,272
322,09736,Xã Cẩm Đình,272
323,09739,Xã Võng Xuyên,272
324,09742,Xã Thọ Lộc,272
325,09745,Xã Long Xuyên,272
326,09748,Xã Thượng Cốc,272
327,09751,Xã Hát Môn,272
328,09754,Xã Tích Giang,272
329,09757,Xã Thanh Đa,272
330,09760,Xã Trạch Mỹ Lộc,272
331,09763,Xã Phúc Hòa,272
332,09766,Xã Ngọc Tảo,272
333,09769,Xã Phụng Thượng,272
334,09772,Xã Tam Thuấn,272
335,09778,Xã Hiệp Thuận,272
336,09781,Xã Liên Hiệp,272
337,09784,Thị trấn Phùng,273
338,09787,Xã Trung Châu,273
339,09790,Xã Thọ An,273
340,09793,Xã Thọ Xuân,273
341,09796,Xã Hồng Hà,273
342,09799,Xã Liên Hồng,273
343,09805,Xã Hạ Mỗ,273
344,09808,Xã Liên Trung,273
345,09811,Xã Phương Đình,273
346,09814,Xã Thượng Mỗ,273
347,09817,Xã Tân Hội,273
348,09820,Xã Tân Lập,273
349,09823,Xã Đan Phượng,273
350,09826,Xã Đồng Tháp,273
351,09829,Xã Song Phượng,273
352,09832,Thị trấn Trạm Trôi,274
353,09835,Xã Đức Thượng,274
354,09838,Xã Minh Khai,274
355,09841,Xã Dương Liễu,274
356,09844,Xã Di Trạch,274
357,09847,Xã Đức Giang,274
358,09850,Xã Cát Quế,274
359,09856,Xã Yên Sở,274
360,09859,Xã Sơn Đồng,274
361,09862,Xã Vân Canh,274
362,09865,Xã Đắc Sở,274
363,09868,Xã Lại Yên,274
364,09871,Xã Tiền Yên,274
365,09874,Xã Song Phương,274
366,09877,Xã An Khánh,274
367,09880,Xã An Thượng,274
368,09883,Xã Vân Côn,274
369,09889,Xã La Phù,274
370,09892,Xã Đông La,274
371,09895,Thị trấn Quốc Oai,275
372,09898,Xã Sài Sơn,275
373,09901,Xã Phượng Cách,275
374,09904,Xã Yên Sơn,275
375,09907,Xã Ngọc Liệp,275
376,09910,Xã Ngọc Mỹ,275
377,09913,Xã Liệp Tuyết,275
378,09916,Xã Thạch Thán,275
379,09919,Xã Đồng Quang,275
380,09922,Xã Phú Cát,275
381,09925,Xã Tuyết Nghĩa,275
382,09928,Xã Nghĩa Hương,275
383,09931,Xã Cộng Hòa,275
384,09934,Xã Tân Phú,275
385,09937,Xã Đại Thành,275
386,09940,Xã Phú Mãn,275
387,09943,Xã Cấn Hữu,275
388,09946,Xã Tân Hòa,275
389,09949,Xã Hòa Thạch,275
390,09952,Xã Đông Yên,275
391,04927,Xã Yên Trung,276
392,04930,Xã Yên Bình,276
393,04936,Xã Tiến Xuân,276
394,09955,Thị trấn Liên Quan,276
395,09958,Xã Đại Đồng,276
396,09961,Xã Cẩm Yên,276
397,09964,Xã Lại Thượng,276
398,09967,Xã Phú Kim,276
399,09970,Xã Hương Ngải,276
400,09973,Xã Canh Nậu,276
401,09976,Xã Kim Quan,276
402,09979,Xã Dị Nậu,276
403,09982,Xã Bình Yên,276
404,09985,Xã Chàng Sơn,276
405,09988,Xã Thạch Hòa,276
406,09991,Xã Cần Kiệm,276
407,09994,Xã Hữu Bằng,276
408,09997,Xã Phùng Xá,276
409,10000,Xã Tân Xã,276
410,10003,Xã Thạch Xá,276
411,10006,Xã Bình Phú,276
412,10009,Xã Hạ Bằng,276
413,10012,Xã Đồng Trúc,276
414,10015,Thị trấn Chúc Sơn,277
415,10018,Thị trấn Xuân Mai,277
416,10021,Xã Phụng Châu,277
417,10024,Xã Tiên Phương,277
418,10027,Xã Đông Sơn,277
419,10030,Xã Đông Phương Yên,277
420,10033,Xã Phú Nghĩa,277
421,10039,Xã Trường Yên,277
422,10042,Xã Ngọc Hòa,277
423,10045,Xã Thủy Xuân Tiên,277
424,10048,Xã Thanh Bình,277
425,10051,Xã Trung Hòa,277
426,10054,Xã Đại Yên,277
427,10057,Xã Thụy Hương,277
428,10060,Xã Tốt Động,277
429,10063,Xã Lam Điền,277
430,10066,Xã Tân Tiến,277
431,10069,Xã Nam Phương Tiến,277
432,10072,Xã Hợp Đồng,277
433,10075,Xã Hoàng Văn Thụ,277
434,10078,Xã Hoàng Diệu,277
435,10081,Xã Hữu Văn,277
436,10084,Xã Quảng Bị,277
437,10087,Xã Mỹ Lương,277
438,10090,Xã Thượng Vực,277
439,10093,Xã Hồng Phong,277
440,10096,Xã Đồng Phú,277
441,10099,Xã Trần Phú,277
442,10102,Xã Văn Võ,277
443,10105,Xã Đồng Lạc,277
444,10108,Xã Hòa Chính,277
445,10111,Xã Phú Nam An,277
446,10114,Thị trấn Kim Bài,278
447,10120,Xã Cự Khê,278
448,10126,Xã Bích Hòa,278
449,10129,Xã Mỹ Hưng,278
450,10132,Xã Cao Viên,278
451,10135,Xã Bình Minh,278
452,10138,Xã Tam Hưng,278
453,10141,Xã Thanh Cao,278
454,10144,Xã Thanh Thùy,278
455,10147,Xã Thanh Mai,278
456,10150,Xã Thanh Văn,278
457,10153,Xã Đỗ Động,278
458,10156,Xã Kim An,278
459,10159,Xã Kim Thư,278
460,10162,Xã Phương Trung,278
461,10165,Xã Tân Ước,278
462,10168,Xã Dân Hòa,278
463,10171,Xã Liên Châu,278
464,10174,Xã Cao Dương,278
465,10177,Xã Xuân Dương,278
466,10180,Xã Hồng Dương,278
467,10183,Thị trấn Thường Tín,279
468,10186,Xã Ninh Sở,279
469,10189,Xã Nhị Khê,279
470,10192,Xã Duyên Thái,279
471,10195,Xã Khánh Hà,279
472,10198,Xã Hòa Bình,279
473,10201,Xã Văn Bình,279
474,10204,Xã Hiền Giang,279
475,10207,Xã Hồng Vân,279
476,10210,Xã Vân Tảo,279
477,10213,Xã Liên Phương,279
478,10216,Xã Văn Phú,279
479,10219,Xã Tự Nhiên,279
480,10225,Xã Hà Hồi,279
481,10228,Xã Thư Phú,279
482,10231,Xã Nguyễn Trãi,279
483,10234,Xã Quất Động,279
484,10237,Xã Chương Dương,279
485,10243,Xã Lê Lợi,279
486,10246,Xã Thắng Lợi,279
487,10249,Xã Dũng Tiến,279
488,10252,Xã Thống Nhất,279
489,10255,Xã Nghiêm Xuyên,279
490,10258,Xã Tô Hiệu,279
491,10261,Xã Văn Tự,279
492,10264,Xã Vạn Điểm,279
493,10267,Xã Minh Cường,279
494,10270,Thị trấn Phú Minh,280
495,10273,Thị trấn Phú Xuyên,280
496,10276,Xã Hồng Minh,280
497,10279,Xã Phượng Dực,280
498,10282,Xã Văn Nhân,280
499,10285,Xã Thụy Phú,280
500,10288,Xã Tri Trung,280
501,10291,Xã Đại Thắng,280
502,10294,Xã Phú Túc,280
503,10297,Xã Văn Hoàng,280
504,10300,Xã Hồng Thái,280
505,10303,Xã Hoàng Long,280
506,10306,Xã Quang Trung,280
507,10309,Xã Nam Phong,280
508,10312,Xã Nam Triều,280
509,10318,Xã Sơn Hà,280
510,10321,Xã Chuyên Mỹ,280
511,10324,Xã Khai Thái,280
512,10327,Xã Phúc Tiến,280
513,10330,Xã Vân Từ,280
514,10333,Xã Tri Thủy,280
515,10336,Xã Đại Xuyên,280
516,10339,Xã Phú Yên,280
517,10342,Xã Bạch Hạ,280
518,10345,Xã Quang Lãng,280
519,10348,Xã Châu Can,280
520,10351,Xã Minh Tân,280
521,10354,Thị trấn Vân Đình,281
522,10357,Xã Viên An,281
523,10360,Xã Viên Nội,281
524,10363,Xã Hoa Sơn,281
525,10366,Xã Quảng Phú Cầu,281
526,10369,Xã Trường Thịnh,281
527,10372,Xã Cao Thành,281
528,10375,Xã Liên Bạt,281
529,10378,Xã Sơn Công,281
530,10381,Xã Đồng Tiến,281
531,10384,Xã Phương Tú,281
532,10387,Xã Trung Tú,281
533,10390,Xã Đồng Tân,281
534,10393,Xã Tảo Dương Văn,281
535,10396,Xã Vạn Thái,281
536,10399,Xã Minh Đức,281
537,10402,Xã Hòa Lâm,281
538,10405,Xã Hòa Xá,281
539,10408,Xã Trầm Lộng,281
540,10411,Xã Kim Đường,281
541,10414,Xã Hòa Nam,281
542,10417,Xã Hòa Phú,281
543,10420,Xã Đội Bình,281
544,10423,Xã Đại Hùng,281
545,10426,Xã Đông Lỗ,281
546,10429,Xã Phù Lưu,281
547,10432,Xã Đại Cường,281
548,10435,Xã Lưu Hoàng,281
549,10438,Xã Hồng Quang,281
550,10441,Thị trấn Đại Nghĩa,282
551,10444,Xã Đồng Tâm,282
552,10447,Xã Thượng Lâm,282
553,10450,Xã Tuy Lai,282
554,10453,Xã Phúc Lâm,282
555,10456,Xã Mỹ Thành,282
556,10459,Xã Bột Xuyên,282
557,10462,Xã An Mỹ,282
558,10465,Xã Hồng Sơn,282
559,10468,Xã Lê Thanh,282
560,10471,Xã Xuy Xá,282
561,10477,Xã Phù Lưu Tế,282
562,10480,Xã Đại Hưng,282
563,10483,Xã Vạn Kim,282
564,10486,Xã Đốc Tín,282
565,10489,Xã Hương Sơn,282
566,10492,Xã Hùng Tiến,282
567,10495,Xã An Tiến,282
568,10498,Xã Hợp Tiến,282
569,10501,Xã Hợp Thanh,282
570,10504,Xã An Phú,282
571,00700,Xã Ngọc Đường,024
572,00949,Xã Phương Thiện,024
573,00712,Thị trấn Phố Bảng,026
574,00715,Xã Lũng Cú,026
575,00718,Xã Má Lé,026
576,00721,Thị trấn Đồng Văn,026
577,00724,Xã Lũng Táo,026
578,00727,Xã Phố Là,026
579,00730,Xã Thài Phìn Tủng,026
580,00733,Xã Sủng Là,026
581,00736,Xã Xà Phìn,026
582,00739,Xã Tả Phìn,026
583,00742,Xã Tả Lủng,026
584,00745,Xã Phố Cáo,026
585,00748,Xã Sính Lủng,026
586,00751,Xã Sảng Tủng,026
587,00754,Xã Lũng Thầu,026
588,00757,Xã Hố Quáng Phìn,026
589,00760,Xã Vần Chải,026
590,00763,Xã Lũng Phìn,026
591,00766,Xã Sủng Trái,026
592,00769,Thị trấn Mèo Vạc,027
593,00772,Xã Thượng Phùng,027
594,00775,Xã Pải Lủng,027
595,00778,Xã Xín Cái,027
596,00781,Xã Pả Vi,027
597,00784,Xã Giàng Chu Phìn,027
598,00787,Xã Sủng Trà,027
599,00790,Xã Sủng Máng,027
600,00793,Xã Sơn Vĩ,027
601,00799,Xã Cán Chu Phìn,027
602,00802,Xã Lũng Pù,027
603,00805,Xã Lũng Chinh,027
604,00808,Xã Tát Ngà,027
605,00811,Xã Nậm Ban,027
606,00814,Xã Khâu Vai,027
607,00815,Xã Niêm Tòng,027
608,00817,Xã Niêm Sơn,027
609,00820,Thị trấn Yên Minh,028
610,00823,Xã Thắng Mố,028
611,00826,Xã Phú Lũng,028
612,00829,Xã Sủng Tráng,028
613,00832,Xã Bạch Đích,028
614,00835,Xã Na Khê,028
615,00838,Xã Sủng Thài,028
616,00841,Xã Hữu Vinh,028
617,00844,Xã Lao Và Chải,028
618,00847,Xã Mậu Duệ,028
619,00850,Xã Đông Minh,028
620,00853,Xã Mậu Long,028
621,00856,Xã Ngam La,028
622,00859,Xã Ngọc Long,028
623,00862,Xã Đường Thượng,028
624,00865,Xã Lũng Hồ,028
625,00868,Xã Du Tiến,028
626,00871,Xã Du Già,028
627,00874,Thị trấn Tam Sơn,029
628,00877,Xã Bát Đại Sơn,029
629,00880,Xã Nghĩa Thuận,029
630,00883,Xã Cán Tỷ,029
631,00886,Xã Cao Mã Pờ,029
632,00889,Xã Thanh Vân,029
633,00892,Xã Tùng Vài,029
634,00895,Xã Đông Hà,029
635,00898,Xã Quản Bạ,029
636,00901,Xã Lùng Tám,029
637,00904,Xã Quyết Tiến,029
638,00907,Xã Tả Ván,029
639,00910,Xã Thái An,029
640,00703,Xã Kim Thạch,030
641,00706,Xã Phú Linh,030
642,00709,Xã Kim Linh,030
643,00913,Thị trấn Vị Xuyên,030
644,00916,Thị trấn Nông Trường Việt Lâm,030
645,00922,Xã Thuận Hòa,030
646,00925,Xã Tùng Bá,030
647,00928,Xã Thanh Thủy,030
648,00931,Xã Thanh Đức,030
649,00934,Xã Phong Quang,030
650,00937,Xã Xín Chải,030
651,00940,Xã Phương Tiến,030
652,00943,Xã Lao Chải,030
653,00952,Xã Cao Bồ,030
654,00955,Xã Đạo Đức,030
655,00958,Xã Thượng Sơn,030
656,00961,Xã Linh Hồ,030
657,00964,Xã Quảng Ngần,030
658,00967,Xã Việt Lâm,030
659,00970,Xã Ngọc Linh,030
660,00973,Xã Ngọc Minh,030
661,00976,Xã Bạch Ngọc,030
662,00979,Xã Trung Thành,030
663,00982,Xã Minh Sơn,031
664,00985,Xã Giáp Trung,031
665,00988,Xã Yên Định,031
666,00991,Thị trấn Yên Phú,031
667,00994,Xã Minh Ngọc,031
668,00997,Xã Yên Phong,031
669,01000,Xã Lạc Nông,031
670,01003,Xã Phú Nam,031
671,01006,Xã Yên Cường,031
672,01009,Xã Thượng Tân,031
673,01012,Xã Đường Âm,031
674,01015,Xã Đường Hồng,031
675,01018,Xã Phiêng Luông,031
676,01021,Thị trấn Vinh Quang,032
677,01024,Xã Bản Máy,032
678,01027,Xã Thàng Tín,032
679,01030,Xã Thèn Chu Phìn,032
680,01033,Xã Pố Lồ,032
681,01036,Xã Bản Phùng,032
682,01039,Xã Túng Sán,032
683,01042,Xã Chiến Phố,032
684,01045,Xã Đản Ván,032
685,01048,Xã Tụ Nhân,032
686,01054,Xã Nàng Đôn,032
687,01057,Xã Pờ Ly Ngài,032
688,01060,Xã Sán Xả Hồ,032
689,01063,Xã Bản Luốc,032
690,01066,Xã Ngàm Đăng Vài,032
691,01069,Xã Bản Nhùng,032
692,01072,Xã Tả Sử Choóng,032
693,01075,Xã Nậm Dịch,032
694,01078,Xã Bản Péo,032
695,01081,Xã Hồ Thầu,032
696,01087,Xã Nậm Tỵ,032
697,01090,Xã Thông Nguyên,032
698,01093,Xã Nậm Khòa,032
699,01096,Thị trấn Cốc Pài,033
700,01099,Xã Nàn Xỉn,033
701,01102,Xã Bản Díu,033
702,01105,Xã Chí Cà,033
703,01108,Xã Xín Mần,033
704,01111,Xã Trung Thịnh,033
705,01114,Xã Thèn Phàng,033
706,01117,Xã Ngán Chiên,033
707,01120,Xã Pà Vầy Sủ,033
708,01123,Xã Cốc Rế,033
709,01126,Xã Thu Tà,033
710,01129,Xã Nàn Ma,033
711,01132,Xã Tả Nhìu,033
712,01135,Xã Bản Ngò,033
713,01138,Xã Chế Là,033
714,01141,Xã Nấm Dẩn,033
715,01144,Xã Quảng Nguyên,033
716,01147,Xã Nà Chì,033
717,01150,Xã Khuôn Lùng,033
718,01153,Thị trấn Việt Quang,034
719,01156,Thị trấn Vĩnh Tuy,034
720,01162,Xã Tân Thành,034
721,01171,Xã Tân Quang,034
722,01174,Xã Thượng Bình,034
723,01177,Xã Hữu Sản,034
724,01180,Xã Kim Ngọc,034
725,01183,Xã Việt Vinh,034
726,01186,Xã Bằng Hành,034
727,01189,Xã Quang Minh,034
728,01195,Xã Vô Điếm,034
729,01198,Xã Việt Hồng,034
730,01201,Xã Hùng An,034
731,01204,Xã Đức Xuân,034
732,01207,Xã Tiên Kiều,034
733,01210,Xã Vĩnh Hảo,034
734,01213,Xã Vĩnh Phúc,034
735,01216,Xã Đồng Yên,034
736,01219,Xã Đông Thành,034
737,01222,Xã Xuân Minh,035
738,01225,Xã Tiên Nguyên,035
739,01228,Xã Tân Nam,035
740,01231,Xã Bản Rịa,035
741,01234,Xã Yên Thành,035
742,01237,Thị trấn Yên Bình,035
743,01240,Xã Tân Trịnh,035
744,01243,Xã Tân Bắc,035
745,01246,Xã Bằng Lang,035
746,01249,Xã Yên Hà,035
747,01258,Xã Nà Khương,035
748,01261,Xã Tiên Yên,035
749,01264,Xã Vĩ Thượng,035
750,01267,Phường Sông Hiến,040
751,01270,Phường Sông Bằng,040
752,01273,Phường Hợp Giang,040
753,01276,Phường Tân Giang,040
754,01279,Phường Ngọc Xuân,040
755,01282,Phường Đề Thám,040
756,01285,Phường Hòa Chung,040
757,01288,Phường Duyệt Trung,040
758,01693,Xã Vĩnh Quang,040
759,01705,Xã Hưng Đạo,040
